loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2023-11-06T09:24:38.128+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.0352436667,-0.3781585693359375,0.1339263916015625,-1.047256469726562,389533.0302656667,-0.2573417423119157,-0.2706214482301326,-0.3251557339191689,-0.8035768866539001,-0.06755001842975616,-0.8349653482437134,-0.1118966341018677,-0.2205336093902588,-0.0929446816444397,XArbitraryZVertical,-0.176138627166637,-0.1114391485944721,-0.1038121653100519,0.9725119568850005,-0.2533224821090698,0.3194563686847687,-0.913112998008728,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.148+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.0551586667,-0.3675079345703125,0.18341064453125,-1.08245849609375,389533.0501796667,-0.2781707548697279,-0.2777231333904595,-0.3367367002474601,-0.8261950016021729,0.02655518241226673,-0.7535159587860107,-0.1220904290676117,-0.164683073759079,-0.167462170124054,XArbitraryZVertical,-0.1832765442880497,-0.1121323141007501,-0.1123904648816388,0.970156977982525,-0.2587689757347107,0.3304088413715363,-0.907672107219696,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.168+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.0750726667,-0.2915496826171875,0.21270751953125,-1.06982421875,389533.0700946667,-0.2972475886328548,-0.2834614027519561,-0.3483811830143055,-0.7839276790618896,0.02711923979222775,-0.6596320867538452,-0.07273787260055542,-0.1464761197566986,-0.1758605241775513,XArbitraryZVertical,-0.1902821484835256,-0.1121792854678864,-0.120162651820368,0.9678685312848482,-0.2628792226314545,0.3413766920566559,-0.902417004108429,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.188+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.0949876667,-0.2063446044921875,0.245330810546875,-1.0799560546875,389533.0900086667,-0.3141987425778033,-0.2888071164038027,-0.3587073152084462,-0.6467553377151489,0.02276710048317909,-0.5734298825263977,0.02058747410774231,-0.1284841299057007,-0.1747243404388428,XArbitraryZVertical,-0.1965158207552431,-0.1122303244417936,-0.1269869423780062,0.9657433424894323,-0.2666812539100647,0.3510641157627106,-0.8975718021392822,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.208+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.1149016667,-0.127838134765625,0.2657928466796875,-1.130661010742188,389533.1099236667,-0.3274996619000963,-0.2936370082166521,-0.3662855206091513,-0.4465169310569763,-0.03609781339764595,-0.4004649817943573,0.1015953421592712,-0.09092262387275696,-0.2170014977455139,XArbitraryZVertical,-0.2012007796577914,-0.1125511107880558,-0.1322818837527643,0.9640290189701598,-0.2702355086803436,0.3581498265266418,-0.8937010169029236,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.228+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.1348166667,-0.0735931396484375,0.2346343994140625,-1.143051147460938,389533.1298376667,-0.3374122602010958,-0.2981252105039895,-0.3713618207751849,-0.3018999397754669,-0.0568598173558712,-0.354492723941803,0.1746004819869995,-0.1080019176006317,-0.2516499757766724,XArbitraryZVertical,-0.2044839989259025,-0.1132316770635179,-0.1361625735400745,0.9627173621937317,-0.2737063467502594,0.3628847599029541,-0.8907297849655151,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.248+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.1547316667,0.01507568359375,0.16546630859375,-1.143630981445312,389533.1497526667,-0.3457182125044561,-0.3028854137762026,-0.3741600127829788,-0.267366349697113,-0.104606568813324,-0.3019010424613953,0.2470759451389313,-0.1641357839107513,-0.2606495022773743,XArbitraryZVertical,-0.2066176574258611,-0.1143988678565175,-0.1394229209828208,0.9616565182072273,-0.2776392996311188,0.3654907941818237,-0.8884440660476685,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.268+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.1746456667,0.10931396484375,0.0705108642578125,-1.143814086914062,389533.1696666667,-0.354230340850095,-0.3079112157475988,-0.3799278007240303,-0.5352428555488586,-0.08124798536300659,-0.2814668118953705,0.3442472219467163,-0.2472266852855682,-0.2501789927482605,XArbitraryZVertical,-0.2102035393132046,-0.1153583365685431,-0.1424719259524434,0.9603170089862476,-0.2814573645591736,0.3708534240722656,-0.8850138783454895,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.294+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.1945606667,0.153839111328125,0.04351806640625,-1.175643920898438,389533.1895816667,-0.3638470742902161,-0.3127196635551651,-0.3899498808533383,-0.6452252268791199,-0.03601658716797829,-0.2576438188552856,0.4278623759746552,-0.3398283123970032,-0.276043176651001,XArbitraryZVertical,-0.2158601256490614,-0.1156272700537374,-0.1456560960032624,0.9585505689011027,-0.2845518589019775,0.3801420629024506,-0.8800694942474365,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
2023-11-06T09:24:38.308+02:00,0,0,0,0,0,-1,0,-1,-1,-1,0,389533.2144746667,0.0827484130859375,0.189849853515625,-1.32574462890625,389533.2094956667,-0.371124525591587,-0.3148621336142483,-0.3986322700197606,-0.3176456093788147,0.1095195710659027,-0.0849933922290802,0.4224582314491272,-0.3005727231502533,-0.3477430939674377,XArbitraryZVertical,-0.2205467627758415,-0.1149605008693625,-0.1481003383569371,0.957188372582828,-0.2854038178920746,0.3881582021713257,-0.8762864470481873,0,0,0,-1,-1,389475.412748125,unknown,2,2023-11-06T09:23:40.501+02:00,2023-11-06T09:23:03.878+02:00,9,0.5993428,0,0,7.403943,0,0,2023-11-06T09:23:25.206+02:00,720948276.6627376,0,-0.9899902,101.7212,1,0.7
